step,action_0,action_1,action_2,action_3,action_4,action_5,action_6,action_min,action_max,action_mean,action_std
24,-0.38397,-0.6156009,0.10998133,0.5700447,-0.79638356,0.76148456,1.5563313,-0.7963835597038269,1.5563312768936157,0.171698197722435,0.783156156539917
25,-0.7473892,-0.17959432,0.5929076,-1.0173124,-0.03528181,0.19529754,0.4625049,-1.0173124074935913,0.5929076075553894,-0.10412396490573883,0.5548117756843567
26,-0.51063865,1.1310625,0.8090502,-0.47599488,-0.015476353,-0.69402254,2.1576056,-0.694022536277771,2.1576056480407715,0.3430837094783783,0.9808459281921387
27,-1.1041908,-0.98347825,1.056992,-1.0355643,-0.21768543,0.6636944,-0.6203658,-1.1041908264160156,1.0569920539855957,-0.32008546590805054,0.8045975565910339
28,0.10891696,0.12316017,-0.08412987,0.117875345,0.4629644,-0.60378176,-0.77911544,-0.7791154384613037,0.46296438574790955,-0.09344432502985,0.40931829810142517
29,1.7191029,-0.7487146,-1.2270668,-1.005172,1.6632346,-0.5149774,-0.2430582,-1.2270667552947998,1.7191028594970703,-0.05095022916793823,1.1404515504837036
30,0.6556299,0.8204142,-0.5837213,0.12093307,-1.337532,-1.1636064,0.6607041,-1.3375320434570312,0.8204141855239868,-0.11816836148500443,0.840071439743042
31,0.26196417,-1.1101362,-0.71220416,0.9110138,1.5704546,0.22964928,-0.843859,-1.1101361513137817,1.5704545974731445,0.04384034872055054,0.9146364331245422
32,0.120396286,-0.69802374,-0.96804523,-0.33972955,-0.042135354,0.21214722,0.30162475,-0.9680452346801758,0.30162474513053894,-0.20196650922298431,0.44824835658073425
33,-0.12258364,0.7580096,-0.72909313,-0.2935162,1.1735331,1.1682926,0.27357733,-0.7290931344032288,1.1735330820083618,0.31831711530685425,0.6881637573242188
34,-0.13514066,-0.53621364,-0.73504883,0.05750821,0.29850665,-0.3247011,0.47538346,-0.7350488305091858,0.475383460521698,-0.1285293996334076,0.40607526898384094
35,-0.1003013,-0.42598772,-1.0721029,-1.742108,1.0484539,1.0560073,1.9654262,-1.7421079874038696,1.9654262065887451,0.10419820249080658,1.2175606489181519
36,0.45392916,0.64920247,0.11733632,-2.0929897,0.6201955,0.36067775,0.058521356,-2.092989683151245,0.6492024660110474,0.023838980123400688,0.889306902885437
37,0.309099,0.17114685,-0.8074512,-0.8489015,-0.6413433,0.22285528,1.3400711,-0.8489015102386475,1.3400710821151733,-0.03636055439710617,0.731433629989624
38,0.30128312,0.84948313,0.76628035,0.26154438,-0.65229917,-0.31364813,0.31479976,-0.652299165725708,0.8494831323623657,0.21820621192455292,0.5010923147201538
39,-0.05084099,0.089551166,0.0862481,0.29666996,0.03915385,-0.3354386,0.5804473,-0.33543860912323,0.5804473161697388,0.10082725435495377,0.26345622539520264
40,0.5627011,1.3642917,-0.85443676,-0.4273066,0.46956095,0.9474304,0.06138143,-0.8544367551803589,1.3642916679382324,0.3033745586872101,0.7139631509780884
41,1.3611635,0.38217652,0.15039465,0.1872007,-0.20451263,0.8932547,0.54858434,-0.20451262593269348,1.3611634969711304,0.47403743863105774,0.48169073462486267
42,-0.5657873,0.28996038,1.128273,-0.26685894,-0.82590604,-0.24980414,-0.15784937,-0.8259060382843018,1.1282730102539062,-0.09256748855113983,0.5925566554069519
43,-1.4458364,-0.8697492,0.6669628,-0.73597056,0.8909281,0.9215367,1.6705569,-1.4458364248275757,1.670556902885437,0.15691833198070526,1.0753589868545532
44,0.31274733,-1.0280591,-1.004153,1.3255974,-0.36871493,0.9098494,0.6465413,-1.0280591249465942,1.3255974054336548,0.11340119689702988,0.8628873825073242
45,-0.5022564,-0.23234469,0.8306806,-0.015287094,-0.93501335,1.0557575,1.9913427,-0.9350133538246155,1.9913426637649536,0.3132684528827667,0.9459590315818787
46,-0.076909594,1.0963168,-1.1223328,-1.2149125,0.915676,-0.17532688,-0.971341,-1.2149125337600708,1.0963168144226074,-0.2212614268064499,0.8794054388999939
47,1.3118143,0.3485461,-0.707131,0.14164695,1.0887395,-0.89244294,1.0850955,-0.8924429416656494,1.311814308166504,0.3394668996334076,0.8207153677940369
48,1.3616,0.25714004,-1.2586778,1.2117296,0.7411051,-1.127178,1.9218628,-1.2586778402328491,1.9218628406524658,0.44394025206565857,1.1405748128890991
49,0.7419526,0.098551795,0.6725747,1.1184093,0.33614334,-1.0513108,-0.5792068,-1.0513107776641846,1.118409276008606,0.191016286611557,0.7133141160011292
50,1.5151113,-0.3219698,-0.7808012,-0.16320655,-0.73097724,-0.1542458,-0.30793935,-0.7808011770248413,1.5151113271713257,-0.13486124575138092,0.7132568359375
51,-0.14277832,-0.28024897,-0.13098702,0.8361526,0.23294269,1.0371156,-1.4125738,-1.4125738143920898,1.0371155738830566,0.01994609832763672,0.7500175833702087
52,-0.07024394,-0.65451616,-0.14390436,0.1504361,1.8106953,0.67209095,-0.10326733,-0.6545161604881287,1.8106952905654907,0.2373272180557251,0.7390518188476562
53,0.6652102,-0.33279127,-0.6363737,-0.7764924,0.6676592,0.24333778,1.3568444,-0.7764924168586731,1.356844425201416,0.16962775588035583,0.7275948524475098
54,0.87535876,-0.0018837294,-0.2659675,0.4196343,0.39990664,-1.060413,-0.003987074,-1.0604130029678345,0.8753587603569031,0.05180690810084343,0.5705532431602478
55,0.8491392,1.1500899,-0.60741025,0.6532371,0.17958702,-1.1139287,0.029621061,-1.1139286756515503,1.1500898599624634,0.16290505230426788,0.7490574717521667
56,-0.416428,1.6436422,-1.4727182,-0.23851602,0.009109881,-1.4938838,-0.03889287,-1.4938838481903076,1.6436421871185303,-0.2868123948574066,0.9825779795646667
57,-0.06258497,-0.33416584,-0.2819705,-0.80654424,-0.11521447,0.4235807,-0.43835738,-0.8065442442893982,0.42358070611953735,-0.2307509332895279,0.35004791617393494
58,-0.15049048,1.3436834,-0.4587885,1.6333717,0.3978055,0.5790072,-0.98439455,-0.9843945503234863,1.6333717107772827,0.3371705710887909,0.8761332035064697
59,-0.47134078,0.59482044,0.9843726,-0.33219844,1.64525,-0.01404448,-0.2570234,-0.47134077548980713,1.6452499628067017,0.3071193993091583,0.733695924282074
60,-0.03786183,-0.70211715,-0.45375293,-1.1590877,-1.1544254,0.61954117,-1.3066335,-1.306633472442627,0.6195411682128906,-0.5991910099983215,0.6496580243110657
61,1.046911,-0.99067825,0.44123518,0.22710085,0.37039733,0.41396573,1.1995083,-0.9906782507896423,1.1995083093643188,0.3869200348854065,0.6571759581565857
62,-0.8565833,0.18965206,0.5554746,0.22232814,-0.025751056,0.1393522,-0.31035623,-0.856583297252655,0.555474579334259,-0.012269089929759502,0.4213980436325073
63,-0.3653794,0.3671433,-0.59703547,-0.2862415,0.096328095,-1.2190679,0.7802403,-1.219067931175232,0.7802402973175049,-0.1748589426279068,0.6090781092643738
64,0.70728976,-0.48811805,0.40656385,-0.39909628,-1.1719927,0.7228014,0.5518813,-1.1719926595687866,0.7228013873100281,0.04704704508185387,0.6811940670013428
65,-0.66707015,0.1687339,1.1000583,-0.37437996,-0.54103285,1.3762424,-0.46641043,-0.6670701503753662,1.3762423992156982,0.08516303449869156,0.7724979519844055
66,-0.5929355,-0.78044724,0.1902595,0.26575178,0.3213488,0.27070895,-0.93284094,-0.9328409433364868,0.32134878635406494,-0.17973639070987701,0.5193536281585693
67,0.57108057,0.74486274,-0.8786288,0.70176786,0.9955702,1.0622497,1.4024364,-0.8786287903785706,1.402436375617981,0.6570483446121216,0.6771574020385742
68,0.96269345,-0.71492594,-0.5071391,-0.08032474,0.75743985,-0.6639972,0.9290617,-0.7149259448051453,0.962693452835083,0.09754400700330734,0.7083884477615356
69,1.9582975,0.27192152,0.9545822,-1.1126257,-0.59422755,-0.3121441,-0.0801097,-1.1126257181167603,1.9582974910736084,0.15509916841983795,0.9521855115890503
70,-1.2053964,0.8372112,-1.0157381,1.7230772,-0.8607656,-1.205466,0.631839,-1.2054660320281982,1.7230771780014038,-0.1564626693725586,1.1068968772888184
71,-0.00670008,1.58559,-1.0673156,-0.17610273,-1.5726913,0.5218268,0.47044927,-1.5726913213729858,1.5855900049209595,-0.03499194607138634,0.9741463661193848
72,-1.0039017,0.032697715,0.36705756,1.1847521,-0.45849818,-0.83956367,-0.82508075,-1.003901720046997,1.184752106666565,-0.22036242485046387,0.7370971441268921
73,0.7356798,0.099013135,-0.29305655,1.3190138,1.2564306,0.19773276,-1.0970098,-1.0970097780227661,1.3190138339996338,0.3168291449546814,0.8013550639152527
74,0.3012081,0.060579155,1.0102811,-1.3090088,-0.868946,0.7803505,0.5054604,-1.3090088367462158,1.0102810859680176,0.0685606375336647,0.7941903471946716
75,-0.43036816,-0.12151153,-0.9823891,-0.47757336,-0.6883666,-1.4927765,-0.9171782,-1.4927765130996704,-0.12151152640581131,-0.7300233840942383,0.4150824248790741
76,-0.16154192,1.3770307,0.026789587,0.77078736,0.22576553,-0.95011854,-0.28874183,-0.9501185417175293,1.3770307302474976,0.1428529918193817,0.6980952620506287
77,-0.57896054,1.4817845,-0.026743505,-0.36964822,1.1456444,-0.6092967,0.94399273,-0.6092966794967651,1.481784462928772,0.2838246524333954,0.8175927996635437
78,0.08543266,-0.07481855,-0.051533837,-0.5744866,0.105339035,0.11786187,0.0994694,-0.5744866132736206,0.11786186695098877,-0.04181943088769913,0.22935529053211212
79,-1.1602052,1.0825372,0.5527328,0.2467256,0.6533537,-0.951383,0.4870775,-1.1602052450180054,1.0825371742248535,0.13011978566646576,0.7869541049003601
80,0.051604703,0.35422257,-1.2196363,-0.73144233,1.0699112,1.8104404,-0.929854,-1.21963632106781,1.8104404211044312,0.0578923299908638,1.0291626453399658
81,0.49268845,0.045182776,-0.26693243,-0.5076769,-0.4116429,-0.70380914,2.0237312,-0.7038091421127319,2.023731231689453,0.0959344431757927,0.8676432371139526
82,0.51886165,0.22862267,-1.2554855,-0.2279532,-2.1508882,0.672496,-0.1895774,-2.150888204574585,0.6724960207939148,-0.3434177041053772,0.944053053855896
83,-0.94676286,-0.26124585,1.3388042,0.11205413,-1.9499717,0.6917593,1.4279683,-1.9499716758728027,1.4279682636260986,0.058943647891283035,1.1379966735839844
84,1.0863353,-0.5045643,-0.7959194,-0.5367614,1.9796553,-1.4292381,0.5150977,-1.4292380809783936,1.9796552658081055,0.04494357854127884,1.1064262390136719
85,2.0369415,1.1659065,0.093576804,0.5481474,-0.009225741,-0.9587903,0.6174058,-0.9587903022766113,2.0369415283203125,0.49913740158081055,0.8762157559394836
86,0.831214,-1.3521087,-1.2672964,-0.39300188,-0.41974765,0.49580657,0.36141032,-1.3521087169647217,0.8312140107154846,-0.249103382229805,0.7926328182220459
87,1.8010467,-0.7993934,-0.7476345,1.8885719,0.61668944,1.2333397,1.9135009,-0.7993934154510498,1.9135009050369263,0.8437315225601196,1.1076486110687256
88,0.87721646,-0.3700789,-0.1999918,0.89311564,0.3573484,-1.6382014,0.20412649,-1.638201355934143,0.8931156396865845,0.017647847533226013,0.8102035522460938
89,0.6070717,0.28004533,-0.25332585,0.6127824,-0.15182619,-0.39413172,0.51392686,-0.39413172006607056,0.6127824187278748,0.17350609600543976,0.3997175991535187
90,-0.119475335,0.03631977,-0.710834,-0.5375824,-0.6934747,0.08435628,-0.48198795,-0.7108340263366699,0.08435627818107605,-0.346096932888031,0.3143536150455475
91,-0.8543114,0.86996686,0.5052805,0.19958602,1.973991,0.268989,-0.30213374,-0.8543114066123962,1.9739910364151,0.3801954686641693,0.8306859135627747
92,-0.73728204,1.3172959,0.8801523,-0.67479265,-0.78993887,0.24747974,0.4107246,-0.7899388670921326,1.3172959089279175,0.0933770090341568,0.7839255928993225
93,-0.54570824,-1.5304471,-0.004916817,-1.246914,-1.750768,0.85462266,0.92029035,-1.7507679462432861,0.9202903509140015,-0.4719772934913635,1.0196672677993774
94,1.4678375,-0.652932,-0.7690234,0.18546924,1.6258597,0.15518656,1.081486,-0.7690234184265137,1.6258597373962402,0.4419833719730377,0.9005024433135986
95,0.5106852,0.29725662,-0.966929,-1.0237331,0.63660246,-0.57938415,-0.7364956,-1.023733139038086,0.6366024613380432,-0.2659996747970581,0.6676425337791443
96,0.6159159,0.47823063,-1.0841517,-0.33340815,1.015458,0.62715733,-0.5730686,-1.0841517448425293,1.0154579877853394,0.10659047216176987,0.7139388918876648
97,0.67342573,-1.1774484,-0.2803073,-0.21870284,-0.3322392,0.7190363,0.19850677,-1.1774483919143677,0.7190362811088562,-0.05967557430267334,0.6104053258895874
98,-0.24451464,0.70447975,-0.88960093,-0.91212916,1.1394603,0.59970236,1.3956177,-0.9121291637420654,1.3956177234649658,0.25614506006240845,0.8722661137580872
99,-0.042393256,1.2324519,-0.32083693,0.6726572,0.53448683,-0.32006907,-0.9871194,-0.9871193766593933,1.2324519157409668,0.10988246649503708,0.6922163367271423
100,-0.16517538,-1.1632411,-0.20556873,0.60874605,0.09566221,0.33516076,-0.43246916,-1.1632411479949951,0.6087460517883301,-0.13241221010684967,0.5317122936248779
101,0.21691877,-0.195088,1.1387465,-0.72483253,-0.63750756,1.4970423,1.495668,-0.7248325347900391,1.4970422983169556,0.3987067639827728,0.9007174372673035
102,1.9157277,0.0788915,-0.20347415,1.9728746,-1.3797933,0.59364605,-0.16227324,-1.3797932863235474,1.972874641418457,0.402228444814682,1.118668556213379
103,0.3137147,0.4383753,0.5905431,-0.35528567,0.19771466,0.80904716,-0.4524052,-0.4524052143096924,0.8090471625328064,0.2202434241771698,0.43495938181877136
104,-1.0417659,-0.023322517,1.1316215,0.8725202,-0.21681084,-0.45425427,0.7341899,-1.0417659282684326,1.1316214799880981,0.14316831529140472,0.7345151305198669
105,-0.43167874,-1.1315433,-0.88364154,-0.8895858,1.1896436,-0.94310826,-0.9616628,-1.1315432786941528,1.1896436214447021,-0.5787967443466187,0.7486543655395508
106,0.041218564,0.35067478,0.5589472,1.1226242,0.8498061,-2.6890886,1.0007522,-2.6890885829925537,1.122624158859253,0.1764191836118698,1.2209120988845825
107,0.5050715,-0.18474329,0.6434895,0.14048652,0.062105145,-0.19639982,-1.6880697,-1.6880697011947632,0.6434894800186157,-0.10258001834154129,0.7112758159637451
108,0.5783727,0.4956238,-1.2398828,-0.33746874,-0.51654476,0.7149919,0.3314667,-1.2398828268051147,0.7149919271469116,0.0037941124755889177,0.6675277948379517
109,0.8536373,0.5030342,0.11551796,-1.4059715,-1.1621432,-0.5938077,-0.19339232,-1.4059715270996094,0.8536372780799866,-0.26901790499687195,0.7751341462135315
110,2.1253865,0.309844,-1.1690464,1.0289756,0.9852204,1.5284777,1.0196929,-1.169046401977539,2.1253864765167236,0.8326501250267029,0.9660128355026245
111,-0.46940002,-0.009419979,-0.86879146,-0.71603286,-0.09487176,1.2751004,-0.5424242,-0.8687914609909058,1.2751003503799438,-0.20369143784046173,0.6683242917060852
112,0.42104456,1.8333747,-0.5241504,1.062612,-1.048603,-0.7922433,0.08044402,-1.0486030578613281,1.8333747386932373,0.14749695360660553,0.9653882384300232
113,0.5604649,1.3320593,0.4225761,-0.76841694,0.72002435,-0.9239928,0.2973303,-0.9239928126335144,1.3320592641830444,0.2342921793460846,0.7496562600135803
114,0.92005527,-0.22385122,-0.36407536,-0.09169686,-0.8916375,-0.31906676,1.6413618,-0.8916375041007996,1.6413618326187134,0.09586991369724274,0.8074760437011719
115,-0.031696584,-0.42712435,-0.06510018,0.5132702,0.09807972,-0.3284786,-1.1407986,-1.140798568725586,0.5132701992988586,-0.19740690290927887,0.4776844382286072
116,0.87690425,-0.5256229,-1.0106952,0.56063306,-0.17622976,0.03111987,-1.3782157,-1.3782156705856323,0.8769042491912842,-0.23172949254512787,0.7499207854270935
117,0.27028626,0.7855872,-0.40545282,-0.54752743,-0.57416713,-0.6508608,0.55317587,-0.6508607864379883,0.7855871915817261,-0.08127985149621964,0.5564461946487427
118,0.3589574,-0.2957954,-0.78401506,-0.1738309,-1.1638733,0.30683926,-0.6023383,-1.163873314857483,0.3589574098587036,-0.3362937569618225,0.518397331237793
119,2.0816634,1.2428049,-1.1487715,-0.9241396,-0.76577586,0.055603523,-0.71084785,-1.1487715244293213,2.0816633701324463,-0.024209031835198402,1.142822504043579
120,0.13571641,-0.3844787,-0.89722687,0.50824195,0.28341228,-0.22842053,1.4130445,-0.897226870059967,1.4130444526672363,0.11861271411180496,0.6824617981910706
121,-0.28651834,-0.59207565,-0.49091542,0.66756845,-0.48862168,0.8012632,0.23707856,-0.5920756459236145,0.8012632131576538,-0.021745849400758743,0.5415535569190979
122,-1.4056174,0.55377656,0.6073379,-0.29824358,-1.1847168,0.54349273,0.01305465,-1.405617356300354,0.6073378920555115,-0.16727368533611298,0.778596043586731
123,0.72821033,-0.31754938,-0.055416044,0.92715883,-1.1758369,1.0358334,-0.24353996,-1.1758369207382202,1.0358333587646484,0.12840859591960907,0.7457743883132935
124,0.20353024,0.04577948,0.094347924,-0.0167123,0.13059881,1.2787234,-0.23885839,-0.2388583868741989,1.2787233591079712,0.2139156013727188,0.45381322503089905
125,0.064375415,-0.6016574,-0.059798397,0.28494534,0.028697342,0.19702141,0.76564217,-0.6016573905944824,0.7656421661376953,0.09703226387500763,0.3800089657306671
126,0.67034376,0.18002029,-1.9610418,0.21899769,1.7059468,-0.83288574,0.16007853,-1.961041808128357,1.7059468030929565,0.020208511501550674,1.0691874027252197
127,0.93791056,0.6033152,0.27043727,-0.7516753,0.41327235,-0.037476204,1.5293707,-0.7516753077507019,1.529370665550232,0.4235934913158417,0.6694315671920776
128,0.48327178,-1.0849526,-1.0811219,0.33123815,0.94844216,-0.7413854,1.0193634,-1.0849525928497314,1.0193634033203125,-0.017877766862511635,0.8598402142524719
129,0.16936189,-0.1124488,0.30016887,-1.2879992,-1.2124301,-0.4267744,0.12996066,-1.287999153137207,0.30016887187957764,-0.34859445691108704,0.6104750037193298
130,0.7711768,0.47625583,-0.4511325,-0.19611163,0.06371156,-1.6687602,0.135725,-1.6687601804733276,0.771176815032959,-0.12416214495897293,0.733177125453949
131,-0.46936497,-0.07151709,1.1627499,-0.21578899,-0.13020806,-0.6609011,-0.969285,-0.9692850112915039,1.1627498865127563,-0.19347360730171204,0.6273759007453918
132,1.2327483,-0.3571441,-1.7733223,-1.1339393,-0.035318885,0.051215157,2.4121392,-1.773322343826294,2.4121391773223877,0.05662543326616287,1.302610158920288
133,0.44994503,-0.63213414,1.0121266,0.117164835,0.7132671,-0.15958847,1.2387508,-0.6321341395378113,1.2387508153915405,0.39136168360710144,0.6137409806251526
134,-0.7786739,0.32203725,-0.38935483,0.6521835,-0.600523,1.7550886,-1.2919627,-1.291962742805481,1.7550885677337646,-0.04731502756476402,0.9547955393791199
135,-1.0141003,0.81897193,-1.325223,0.8208016,-0.087000355,0.14680646,2.1649961,-1.3252229690551758,2.1649961471557617,0.21789321303367615,1.1027908325195312
136,1.3357747,0.9391321,-0.6961513,0.10400406,-0.44205913,0.44650656,-0.23135287,-0.6961513161659241,1.3357746601104736,0.20797912776470184,0.6873580813407898
137,0.113166034,1.8891882,-0.8662482,0.7108706,-0.30125153,0.63258666,1.5000244,-0.8662481904029846,1.8891881704330444,0.5254765748977661,0.8980672359466553
138,-1.4885942,0.024760893,-0.4814002,0.59894586,0.1705546,-1.6582767,0.13462809,-1.6582766771316528,0.5989458560943604,-0.3856259286403656,0.8073900938034058
139,-0.53183585,0.30614653,0.2591897,-1.123166,-0.62062716,0.8177463,-0.19199272,-1.1231659650802612,0.8177462816238403,-0.15493418276309967,0.6127189993858337
140,-0.45398623,-1.0656888,-1.0669274,1.0983347,1.7736548,0.0059217717,1.5279629,-1.066927433013916,1.773654818534851,0.2598959803581238,1.1144636869430542
141,-0.35298073,1.2338624,0.0037405863,1.0921292,0.9408099,-0.753865,0.81792086,-0.7538650035858154,1.2338624000549316,0.42594534158706665,0.7262620329856873
142,0.15857257,-0.13059334,0.5314606,1.0995326,-0.12105797,0.8871217,0.2975929,-0.13059334456920624,1.0995326042175293,0.3889469802379608,0.44156622886657715
143,1.0766762,0.19009438,1.0972677,0.24322124,-1.2078949,-0.5088707,-0.30016375,-1.2078949213027954,1.097267746925354,0.0843329057097435,0.7761437892913818
144,0.60840154,-0.063239336,-0.55785143,-0.56526005,-0.25112203,0.31685784,-1.3535706,-1.353570580482483,0.6084015369415283,-0.2665405869483948,0.597993791103363
145,-0.4075661,-0.33744842,1.0275065,-0.26166674,0.7006739,-0.51832974,0.44514915,-0.5183297395706177,1.0275064706802368,0.09261693060398102,0.5734534859657288
146,0.3240397,0.8022257,-0.44971657,0.20020974,-0.8903216,-0.5982005,-0.78100234,-0.8903216123580933,0.8022257089614868,-0.19896654784679413,0.5945302844047546
147,0.4018833,0.7270196,-1.4772158,-0.8928655,0.6255362,0.2937276,-0.00958148,-1.4772157669067383,0.7270196080207825,-0.04735656455159187,0.7682453989982605
148,-0.27712974,-0.54461384,-0.50205535,-1.2472762,0.2539025,1.4792687,1.340931,-1.2472761869430542,1.4792686700820923,0.07186102867126465,0.9408061504364014
149,-0.30235168,0.90795946,-0.7345305,-0.5490355,1.1651291,0.4904615,0.9806893,-0.734530508518219,1.1651290655136108,0.2797602117061615,0.7337526679039001
150,-0.27847674,-0.3527378,-1.6933819,0.32304952,0.33249164,0.53653485,0.22928599,-1.693381905555725,0.53653484582901,-0.12903349101543427,0.7079468965530396
151,1.0274107,0.3559139,0.630502,0.10558962,-1.2630352,-0.05925876,-0.23651671,-1.2630351781845093,1.0274107456207275,0.08008651435375214,0.6762017607688904
152,0.0142977,1.6034013,0.07451181,-0.2591263,-1.5487093,0.12990938,-0.31159094,-1.5487092733383179,1.6034013032913208,-0.04247233644127846,0.8572078943252563
153,0.6186878,0.07930182,-0.45405883,-0.21148704,1.4793954,-0.33145368,-0.34359723,-0.45405882596969604,1.4793953895568848,0.11954117566347122,0.6498857140541077
154,0.6132391,0.6968028,0.94420576,-0.575303,0.013425765,0.121099874,-0.38837758,-0.5753030180931091,0.9442057609558105,0.20358465611934662,0.5291029810905457
155,0.50017756,1.0345968,-0.114108,-0.540029,1.8202775,0.119384035,0.8860353,-0.540028989315033,1.820277452468872,0.5294762849807739,0.7344118356704712
156,-0.2887509,-0.23890808,-0.50762886,-0.21335004,-0.05804372,0.4306256,0.35787472,-0.507628858089447,0.4306255877017975,-0.07402590662240982,0.3211991786956787
157,0.526438,-1.1193224,-0.62878966,0.44110298,1.8929899,-0.38639623,1.0260322,-1.119322419166565,1.8929898738861084,0.2502935230731964,0.96116703748703
158,-0.099715106,-0.023638468,-1.3931959,-0.54377156,1.5833274,0.58632845,-1.9091272,-1.9091272354125977,1.5833274126052856,-0.2571132183074951,1.0875862836837769
159,-0.053718068,0.24272001,-0.41381794,-0.087819956,-0.97616744,0.61704475,1.0222881,-0.9761674404144287,1.0222880840301514,0.05007564276456833,0.6096747517585754
160,-1.0931243,0.68244505,-0.9191747,0.5646693,0.7946794,-1.5968206,-1.2370714,-1.596820592880249,0.7946794033050537,-0.40062814950942993,0.9571208953857422
161,-1.2355006,-0.64920115,1.0950983,-0.3250911,-0.016739298,0.49980408,-0.7300596,-1.2355005741119385,1.0950982570648193,-0.1945270448923111,0.7339749336242676
162,0.88875675,0.34232605,0.37178183,0.21802132,-0.8415435,-0.96982014,1.05512,-0.9698201417922974,1.0551199913024902,0.15209174156188965,0.7263344526290894
163,-0.2800254,-1.4865421,-0.6592734,0.29195055,-1.1247737,-1.155836,1.3458322,-1.4865421056747437,1.3458322286605835,-0.4383811354637146,0.916140079498291
164,-0.555283,-0.6946304,-0.68182695,0.70980275,-0.16376683,0.57227683,0.7328194,-0.6946303844451904,0.7328193783760071,-0.011515473015606403,0.6152787208557129
