episode_index,task
66,pick up the yellow and white mug and place it inside the basket in the middle region
67,pick up the yellow and white mug and place it inside the basket in the middle region
68,pick up the yellow and white mug and place it inside the basket in the middle region
69,pick up the yellow and white mug and place it inside the basket in the middle region
70,pick up the yellow and white mug and place it inside the basket in the right region
71,pick up the yellow and white mug and place it inside the basket in the right region
72,pick up the yellow and white mug and place it inside the basket in the right region
73,pick up the yellow and white mug and place it inside the basket in the right region
74,pick up the yellow and white mug and place it inside the basket in the right region
75,push the white and yellow mug to the middle of the table
76,push the white and yellow mug to the middle of the table
77,push the white and yellow mug to the middle of the table
78,push the white and yellow mug to the middle of the table
79,push the white and yellow mug to the middle of the table
80,pick up the alphabet soup and place it on the plate in the left region
81,pick up the alphabet soup and place it on the plate in the left region
82,pick up the alphabet soup and place it on the plate in the left region
83,pick up the alphabet soup and place it on the plate in the left region
84,pick up the alphabet soup and place it on the plate in the left region
85,pick up the alphabet soup and place it on the plate in the middle region
86,pick up the alphabet soup and place it on the plate in the middle region
87,pick up the alphabet soup and place it on the plate in the middle region
88,pick up the alphabet soup and place it on the plate in the middle region
89,pick up the alphabet soup and place it on the plate in the middle region
90,pick up the alphabet soup and place it on the plate in the right region
91,pick up the alphabet soup and place it on the plate in the right region
92,pick up the alphabet soup and place it on the plate in the right region
93,pick up the alphabet soup and place it on the plate in the right region
94,pick up the alphabet soup and place it on the plate in the right region
95,pick up the alphabet soup and place it inside the basket in the left region
96,pick up the alphabet soup and place it inside the basket in the left region
97,pick up the alphabet soup and place it inside the basket in the left region
98,pick up the alphabet soup and place it inside the basket in the left region
99,pick up the alphabet soup and place it inside the basket in the left region
105,pick up the alphabet soup and place it inside the basket in the right region
106,pick up the alphabet soup and place it inside the basket in the right region
107,pick up the alphabet soup and place it inside the basket in the right region
108,pick up the alphabet soup and place it inside the basket in the right region
109,pick up the alphabet soup and place it inside the basket in the right region
110,push the alphabet soup into the left target region
111,push the alphabet soup into the left target region
112,push the alphabet soup into the left target region
113,push the alphabet soup into the left target region
114,push the alphabet soup into the left target region
115,push the alphabet soup into the middle target region
116,push the alphabet soup into the middle target region
117,push the alphabet soup into the middle target region
118,push the alphabet soup into the middle target region
119,push the alphabet soup into the middle target region
120,push the alphabet soup into the right target region
121,push the alphabet soup into the right target region
122,push the alphabet soup into the right target region
123,push the alphabet soup into the right target region
124,push the alphabet soup into the right target region
125,pick up the cream cheese box and place it on the plate in the left region
126,pick up the cream cheese box and place it on the plate in the left region
127,pick up the cream cheese box and place it on the plate in the left region
128,pick up the cream cheese box and place it on the plate in the left region
129,pick up the cream cheese box and place it on the plate in the left region
130,pick up the cream cheese box and place it on the plate in the middle region
131,pick up the cream cheese box and place it on the plate in the middle region
132,pick up the cream cheese box and place it on the plate in the middle region
133,pick up the cream cheese box and place it on the plate in the middle region
134,pick up the cream cheese box and place it on the plate in the middle region
135,pick up the cream cheese box and place it on the plate in the right region
136,pick up the cream cheese box and place it on the plate in the right region
137,pick up the cream cheese box and place it on the plate in the right region
138,pick up the cream cheese box and place it on the plate in the right region
139,pick up the cream cheese box and place it on the plate in the right region
140,pick up the cream cheese box and place it inside the basket in the left region
141,pick up the cream cheese box and place it inside the basket in the left region
142,pick up the cream cheese box and place it inside the basket in the left region
143,pick up the cream cheese box and place it inside the basket in the left region
144,pick up the cream cheese box and place it inside the basket in the left region
145,pick up the cream cheese box and place it inside the basket in the middle region
146,pick up the cream cheese box and place it inside the basket in the middle region
147,pick up the cream cheese box and place it inside the basket in the middle region
148,pick up the cream cheese box and place it inside the basket in the middle region
149,pick up the cream cheese box and place it inside the basket in the middle region
150,pick up the cream cheese box and place it inside the basket in the right region
151,pick up the cream cheese box and place it inside the basket in the right region
152,pick up the cream cheese box and place it inside the basket in the right region
153,pick up the cream cheese box and place it inside the basket in the right region
154,pick up the cream cheese box and place it inside the basket in the right region
155,push the cream cheese box into the middle target region
156,push the cream cheese box into the middle target region
157,push the cream cheese box into the middle target region
158,push the cream cheese box into the middle target region
159,push the cream cheese box into the middle target region
